"y_on_time_b","on_time_a","planned_dur_a","planned_dur_b","planned_layover_sec","ampeak_a","pmpeak_a","route_pair"
1,1,1560,1800,120,1,0,"60_60"
0,1,1800,1380,300,1,0,"60_30"
0,0,1380,1380,540,1,0,"30_30"
0,0,1380,1380,540,1,0,"30_30"
1,0,1380,1620,720,1,0,"30_50"
1,1,1620,1860,0,0,0,"50_50"
1,1,1860,1500,780,0,0,"50_42"
1,1,1500,1500,420,0,0,"42_42"
1,1,1500,900,360,0,0,"42_31"
1,1,780,1380,300,0,0,"31_42"
1,1,1380,1560,120,0,0,"42_42"
1,1,1560,780,360,1,0,"42_31"
1,1,780,960,120,1,0,"31_31"
1,1,960,1800,300,1,0,"31_41"
1,1,960,1860,300,1,0,"31_41"
1,1,1800,2220,300,1,0,"132_32"
1,1,2220,2700,240,1,0,"32_32"
1,1,2220,2700,240,1,0,"32_32"
1,1,2700,1560,780,1,0,"32_38"
1,1,1560,1560,660,1,0,"38_38"
1,1,1560,1920,660,0,0,"38_132"
1,1,1920,1980,120,0,0,"132_132"
1,1,1980,3480,600,0,0,"132_4"
1,1,3480,1800,420,0,0,"4_54"
1,1,2280,2280,120,0,1,"132_132"
1,1,2280,2280,360,0,1,"132_32"
1,1,2280,2400,240,0,1,"32_32"
0,1,2400,1800,480,0,0,"32_32"
1,0,1800,1800,120,0,0,"32_32"
1,1,1800,1620,600,0,0,"32_38"
1,1,1620,840,420,0,0,"38_31"
1,1,840,840,120,0,0,"31_31"
1,1,840,1500,780,0,0,"31_38"
1,1,1560,1500,840,0,0,"47_5"
1,1,1500,1860,0,0,0,"5_5"
1,1,1860,1560,300,0,0,"5_38"
1,1,1560,1680,300,0,0,"38_32"
1,1,1680,1740,120,0,0,"32_32"
1,1,1740,3000,360,0,0,"32_4"
